u_p u_o u_r i_mA adc_uo adc_ur dac_val r
-0.003226 0.000000 0.003226 0.026882 0 1 0 120
0.000000 0.009677 0.009677 0.080645 3 3 1 120
-0.003226 0.016129 0.019355 0.161290 5 6 2 120
-0.003226 0.025806 0.029032 0.241935 8 9 3 120
-0.003226 0.035484 0.038710 0.322581 11 12 4 120
-0.003226 0.041935 0.045161 0.376344 13 14 5 120
-0.003226 0.048387 0.051613 0.430108 15 16 6 120
0.000000 0.058065 0.058065 0.483871 18 18 7 120
-0.003226 0.064516 0.067742 0.564516 20 21 8 120
0.000000 0.074194 0.074194 0.618280 23 23 9 120
-0.003226 0.080645 0.083871 0.698925 25 26 10 120
-0.003226 0.090323 0.093548 0.779570 28 29 11 120
0.000000 0.100000 0.100000 0.833333 31 31 12 120
-0.003226 0.106452 0.109677 0.913979 33 34 13 120
-0.003226 0.112903 0.116129 0.967742 35 36 14 120
0.000000 0.122581 0.122581 1.021505 38 38 15 120
0.000000 0.129032 0.129032 1.075269 40 40 16 120
0.000000 0.138710 0.138710 1.155914 43 43 17 120
-0.003226 0.145161 0.148387 1.236559 45 46 18 120
0.000000 0.154839 0.154839 1.290323 48 48 19 120
0.000000 0.164516 0.164516 1.370968 51 51 20 120
0.000000 0.170968 0.170968 1.424731 53 53 21 120
0.000000 0.177419 0.177419 1.478495 55 55 22 120
0.000000 0.187097 0.187097 1.559140 58 58 23 120
0.000000 0.193548 0.193548 1.612903 60 60 24 120
0.000000 0.203226 0.203226 1.693548 63 63 25 120
0.003226 0.212903 0.209677 1.747312 66 65 26 120
0.000000 0.219355 0.219355 1.827957 68 68 27 120
0.000000 0.229032 0.229032 1.908602 71 71 28 120
0.000000 0.235484 0.235484 1.962366 73 73 29 120
0.003226 0.245161 0.241935 2.016129 76 75 30 120
0.000000 0.251613 0.251613 2.096774 78 78 31 120
0.000000 0.258065 0.258065 2.150538 80 80 32 120
0.003226 0.267742 0.264516 2.204301 83 82 33 120
0.003226 0.277419 0.274194 2.284946 86 85 34 120
0.003226 0.283871 0.280645 2.338710 88 87 35 120
0.003226 0.293548 0.290323 2.419355 91 90 36 120
0.003226 0.300000 0.296774 2.473118 93 92 37 120
0.003226 0.309677 0.306452 2.553764 96 95 38 120
0.003226 0.316129 0.312903 2.607527 98 97 39 120
0.003226 0.322581 0.319355 2.661290 100 99 40 120
0.003226 0.332258 0.329032 2.741936 103 102 41 120
0.006452 0.341935 0.335484 2.795699 106 104 42 120
0.003226 0.348387 0.345161 2.876344 108 107 43 120
0.003226 0.358065 0.354839 2.956989 111 110 44 120
0.003226 0.364516 0.361290 3.010753 113 112 45 120
0.006452 0.374194 0.367742 3.064516 116 114 46 120
0.006452 0.380645 0.374194 3.118280 118 116 47 120
0.003226 0.387097 0.383871 3.198925 120 119 48 120
0.006452 0.396774 0.390323 3.252688 123 121 49 120
0.006452 0.406452 0.400000 3.333333 126 124 50 120
0.003226 0.412903 0.409677 3.413979 128 127 51 120
0.006452 0.422581 0.416129 3.467742 131 129 52 120
0.003226 0.429032 0.425806 3.548387 133 132 53 120
0.006452 0.438710 0.432258 3.602151 136 134 54 120
0.006452 0.445161 0.438710 3.655914 138 136 55 120
0.003226 0.451613 0.448387 3.736559 140 139 56 120
0.006452 0.461290 0.454839 3.790323 143 141 57 120
0.006452 0.470968 0.464516 3.870968 146 144 58 120
0.006452 0.477419 0.470968 3.924731 148 146 59 120
0.006452 0.487097 0.480645 4.005376 151 149 60 120
0.006452 0.493548 0.487097 4.059140 153 151 61 120
0.000000 0.503226 0.503226 4.193549 156 156 62 120
-0.003226 0.509677 0.512903 4.274194 158 159 63 120
0.000000 0.519355 0.519355 4.327957 161 161 64 120
-0.003226 0.525806 0.529032 4.408602 163 164 65 120
-0.003226 0.535484 0.538710 4.489248 166 167 66 120
0.000000 0.545161 0.545161 4.543011 169 169 67 120
-0.003226 0.551613 0.554839 4.623656 171 172 68 120
0.000000 0.561290 0.561290 4.677420 174 174 69 120
-0.003226 0.567742 0.570968 4.758065 176 177 70 120
-0.003226 0.574194 0.577419 4.811828 178 179 71 120
-0.003226 0.580645 0.583871 4.865592 180 181 72 120
-0.003226 0.590323 0.593548 4.946237 183 184 73 120
0.000000 0.600000 0.600000 5.000000 186 186 74 120
-0.003226 0.606452 0.609677 5.080646 188 189 75 120
-0.003226 0.616129 0.619355 5.161291 191 192 76 120
-0.003226 0.622581 0.625806 5.215054 193 194 77 120
0.000000 0.632258 0.632258 5.268817 196 196 78 120
