u_p u_o u_r i_mA adc_uo adc_ur dac_val r
-0.003226 0.000000 0.003226 0.026882 0 1 0 120
-0.003226 0.009677 0.012903 0.107527 3 4 1 120
-0.006452 0.016129 0.022581 0.188172 5 7 2 120
-0.003226 0.025806 0.029032 0.241935 8 9 3 120
-0.003226 0.035484 0.038710 0.322581 11 12 4 120
-0.003226 0.041935 0.045161 0.376344 13 14 5 120
-0.003226 0.048387 0.051613 0.430108 15 16 6 120
-0.003226 0.058065 0.061290 0.510753 18 19 7 120
-0.003226 0.064516 0.067742 0.564516 20 21 8 120
-0.003226 0.074194 0.077419 0.645161 23 24 9 120
-0.003226 0.080645 0.083871 0.698925 25 26 10 120
-0.003226 0.090323 0.093548 0.779570 28 29 11 120
-0.003226 0.100000 0.103226 0.860215 31 32 12 120
-0.003226 0.106452 0.109677 0.913979 33 34 13 120
-0.003226 0.112903 0.116129 0.967742 35 36 14 120
0.000000 0.122581 0.122581 1.021505 38 38 15 120
-0.003226 0.129032 0.132258 1.102151 40 41 16 120
0.000000 0.138710 0.138710 1.155914 43 43 17 120
-0.003226 0.145161 0.148387 1.236559 45 46 18 120
0.000000 0.154839 0.154839 1.290323 48 48 19 120
0.000000 0.164516 0.164516 1.370968 51 51 20 120
0.000000 0.170968 0.170968 1.424731 53 53 21 120
-0.003226 0.177419 0.180645 1.505376 55 56 22 120
0.000000 0.187097 0.187097 1.559140 58 58 23 120
0.000000 0.193548 0.193548 1.612903 60 60 24 120
0.000000 0.203226 0.203226 1.693548 63 63 25 120
-0.003226 0.209677 0.212903 1.774194 65 66 26 120
0.000000 0.219355 0.219355 1.827957 68 68 27 120
0.000000 0.229032 0.229032 1.908602 71 71 28 120
0.000000 0.235484 0.235484 1.962366 73 73 29 120
0.003226 0.245161 0.241935 2.016129 76 75 30 120
0.000000 0.251613 0.251613 2.096774 78 78 31 120
0.000000 0.258065 0.258065 2.150538 80 80 32 120
0.000000 0.267742 0.267742 2.231183 83 83 33 120
0.003226 0.277419 0.274194 2.284946 86 85 34 120
0.000000 0.283871 0.283871 2.365592 88 88 35 120
0.003226 0.293548 0.290323 2.419355 91 90 36 120
0.000000 0.300000 0.300000 2.500000 93 93 37 120
0.000000 0.306452 0.306452 2.553764 95 95 38 120
0.003226 0.316129 0.312903 2.607527 98 97 39 120
0.003226 0.322581 0.319355 2.661290 100 99 40 120
0.003226 0.332258 0.329032 2.741936 103 102 41 120
0.003226 0.341935 0.338710 2.822581 106 105 42 120
0.003226 0.348387 0.345161 2.876344 108 107 43 120
0.003226 0.358065 0.354839 2.956989 111 110 44 120
0.003226 0.364516 0.361290 3.010753 113 112 45 120
0.006452 0.374194 0.367742 3.064516 116 114 46 120
0.003226 0.380645 0.377419 3.145161 118 117 47 120
0.003226 0.387097 0.383871 3.198925 120 119 48 120
0.003226 0.396774 0.393548 3.279570 123 122 49 120
0.006452 0.406452 0.400000 3.333333 126 124 50 120
0.003226 0.412903 0.409677 3.413979 128 127 51 120
0.006452 0.422581 0.416129 3.467742 131 129 52 120
0.003226 0.429032 0.425806 3.548387 133 132 53 120
0.006452 0.438710 0.432258 3.602151 136 134 54 120
0.006452 0.445161 0.438710 3.655914 138 136 55 120
0.006452 0.451613 0.445161 3.709677 140 138 56 120
0.006452 0.461290 0.454839 3.790323 143 141 57 120
0.006452 0.470968 0.464516 3.870968 146 144 58 120
0.006452 0.477419 0.470968 3.924731 148 146 59 120
0.006452 0.487097 0.480645 4.005376 151 149 60 120
0.006452 0.493548 0.487097 4.059140 153 151 61 120
0.006452 0.503226 0.496774 4.139785 156 154 62 120
0.006452 0.509677 0.503226 4.193549 158 156 63 120
0.003226 0.516129 0.512903 4.274194 160 159 64 120
0.006452 0.525806 0.519355 4.327957 163 161 65 120
0.006452 0.535484 0.529032 4.408602 166 164 66 120
0.006452 0.541936 0.535484 4.462366 168 166 67 120
0.006452 0.551613 0.545161 4.543011 171 169 68 120
0.006452 0.558065 0.551613 4.596775 173 171 69 120
0.009677 0.567742 0.558065 4.650538 176 173 70 120
0.009677 0.574194 0.564516 4.704301 178 175 71 120
0.009677 0.580645 0.570968 4.758065 180 177 72 120
0.009677 0.590323 0.580645 4.838710 183 180 73 120
0.009677 0.600000 0.590323 4.919355 186 183 74 120
0.006452 0.606452 0.600000 5.000000 188 186 75 120
0.009677 0.616129 0.606452 5.053764 191 188 76 120
0.009677 0.622581 0.612903 5.107527 193 190 77 120
0.009677 0.632258 0.622581 5.188172 196 193 78 120
0.009677 0.638710 0.629032 5.241936 198 195 79 120
0.009677 0.645161 0.635484 5.295699 200 197 80 120
0.009677 0.654839 0.645161 5.376344 203 200 81 120
0.009677 0.664516 0.654839 5.456989 206 203 82 120
0.009677 0.670968 0.661290 5.510753 208 205 83 120
0.009677 0.680645 0.670968 5.591398 211 208 84 120
0.009677 0.687097 0.677419 5.645162 213 210 85 120
0.012903 0.696774 0.683871 5.698925 216 212 86 120
0.012903 0.703226 0.690323 5.752688 218 214 87 120
0.009677 0.709677 0.700000 5.833333 220 217 88 120
0.012903 0.719355 0.706452 5.887097 223 219 89 120
0.012903 0.729032 0.716129 5.967742 226 222 90 120
0.009677 0.735484 0.725806 6.048388 228 225 91 120
0.012903 0.745161 0.732258 6.102151 231 227 92 120
0.012903 0.751613 0.738710 6.155914 233 229 93 120
0.012903 0.761290 0.748387 6.236559 236 232 94 120
0.012903 0.767742 0.754839 6.290323 238 234 95 120
0.012903 0.774194 0.761290 6.344086 240 236 96 120
0.012903 0.783871 0.770968 6.424731 243 239 97 120
0.012903 0.793548 0.780645 6.505376 246 242 98 120
0.012903 0.800000 0.787097 6.559140 248 244 99 120
0.012903 0.809677 0.796774 6.639785 251 247 100 120
0.012903 0.816129 0.803226 6.693549 253 249 101 120
0.016129 0.825806 0.809677 6.747312 256 251 102 120
0.016129 0.832258 0.816129 6.801075 258 253 103 120
0.012903 0.838710 0.825806 6.881721 260 256 104 120
0.016129 0.848387 0.832258 6.935484 263 258 105 120
0.016129 0.858065 0.841935 7.016129 266 261 106 120
0.012903 0.864516 0.851613 7.096775 268 264 107 120
0.016129 0.874194 0.858065 7.150538 271 266 108 120
0.016129 0.880645 0.864516 7.204301 273 268 109 120
0.016129 0.890323 0.874194 7.284946 276 271 110 120
0.016129 0.896774 0.880645 7.338710 278 273 111 120
0.016129 0.903226 0.887097 7.392473 280 275 112 120
0.016129 0.912903 0.896774 7.473118 283 278 113 120
0.019355 0.922581 0.903226 7.526882 286 280 114 120
0.016129 0.929032 0.912903 7.607527 288 283 115 120
0.016129 0.938710 0.922581 7.688172 291 286 116 120
0.016129 0.945161 0.929032 7.741936 293 288 117 120
0.019355 0.954839 0.935484 7.795699 296 290 118 120
0.019355 0.961290 0.941935 7.849463 298 292 119 120
0.019355 0.967742 0.948387 7.903226 300 294 120 120
0.019355 0.977419 0.958064 7.983871 303 297 121 120
0.016129 0.983871 0.967742 8.064516 305 300 122 120
0.019355 0.993548 0.974194 8.118280 308 302 123 120
0.019355 1.003226 0.983871 8.198925 311 305 124 120
0.019355 1.009677 0.990323 8.252688 313 307 125 120
0.019355 1.016129 0.996774 8.306452 315 309 126 120
0.022581 1.025806 1.003226 8.360215 318 311 127 120
0.019355 1.032258 1.012903 8.440861 320 314 128 120
0.022581 1.041935 1.019355 8.494624 323 316 129 120
0.019355 1.048387 1.029032 8.575269 325 319 130 120
0.022581 1.058064 1.035484 8.629032 328 321 131 120
0.022581 1.067742 1.045161 8.709678 331 324 132 120
0.022581 1.074194 1.051613 8.763441 333 326 133 120
0.022581 1.080645 1.058064 8.817204 335 328 134 120
0.022581 1.090323 1.067742 8.897850 338 331 135 120
0.022581 1.096774 1.074194 8.951613 340 333 136 120
0.022581 1.106452 1.083871 9.032259 343 336 137 120
0.025806 1.116129 1.090323 9.086022 346 338 138 120
0.022581 1.122581 1.100000 9.166667 348 341 139 120
0.025806 1.132258 1.106452 9.220430 351 343 140 120
0.022581 1.138710 1.116129 9.301076 353 346 141 120
0.025806 1.148387 1.122581 9.354839 356 348 142 120
0.025806 1.154839 1.129032 9.408603 358 350 143 120
0.022581 1.161290 1.138710 9.489247 360 353 144 120
0.025806 1.170968 1.145161 9.543011 363 355 145 120
0.025806 1.180645 1.154839 9.623656 366 358 146 120
0.025806 1.187097 1.161290 9.677420 368 360 147 120
0.025807 1.196774 1.170968 9.758064 371 363 148 120
0.025807 1.203226 1.177419 9.811828 373 365 149 120
0.029032 1.212903 1.183871 9.865591 376 367 150 120
0.025806 1.219355 1.193548 9.946238 378 370 151 120
0.029032 1.229032 1.200000 10.000001 381 372 152 120
0.029032 1.235484 1.206452 10.053764 383 374 153 120
0.029032 1.245161 1.216129 10.134409 386 377 154 120
0.029032 1.254839 1.225806 10.215055 389 380 155 120
-0.003226 1.261290 1.264516 10.537635 391 392 156 120
0.000000 1.270968 1.270968 10.591398 394 394 157 120
0.000000 1.277419 1.277419 10.645162 396 396 158 120
0.000000 1.283871 1.283871 10.698925 398 398 159 120
0.000000 1.293548 1.293548 10.779570 401 401 160 120
0.000000 1.300000 1.300000 10.833333 403 403 161 120
0.000000 1.309677 1.309677 10.913979 406 406 162 120
0.000000 1.319355 1.319355 10.994624 409 409 163 120
0.003226 1.329032 1.325806 11.048388 412 411 164 120
0.003226 1.335484 1.332258 11.102151 414 413 165 120
0.000000 1.341936 1.341936 11.182796 416 416 166 120
0.000000 1.348387 1.348387 11.236560 418 418 167 120
0.003226 1.358065 1.354839 11.290323 421 420 168 120
0.006452 1.367742 1.361290 11.344087 424 422 169 120
0.003226 1.374194 1.370968 11.424731 426 425 170 120
0.006452 1.383871 1.377419 11.478495 429 427 171 120
0.009677 1.393548 1.383871 11.532258 432 429 172 120
0.009677 1.400000 1.390323 11.586021 434 431 173 120
0.009677 1.406452 1.396774 11.639785 436 433 174 120
0.012903 1.416129 1.403226 11.693548 439 435 175 120
0.012903 1.422581 1.409677 11.747312 441 437 176 120
0.016129 1.432258 1.416129 11.801075 444 439 177 120
0.016129 1.438710 1.422581 11.854838 446 441 178 120
0.019355 1.448387 1.429032 11.908602 449 443 179 120
0.022581 1.458065 1.435484 11.962365 452 445 180 120
0.025806 1.464516 1.438710 11.989248 454 446 181 120
0.029032 1.470968 1.441936 12.016129 456 447 182 120
0.032258 1.480645 1.448387 12.069893 459 449 183 120
